publication_date	list_label	scope	rank	entry_name	issue_url
1984-06-15	Most Popular	most_popular	5	Junkyard Dog	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Most Popular	most_popular	6	Kerry Von Erich	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Most Popular	most_popular	7	Hulk Hogan	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Most Popular	most_popular	8	Mike Rotundo	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Most Popular	most_popular	9	Magnum T. A.	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Most Popular	most_popular	10	Billy Jack	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Most Hated	most_hated	1	Nikolai Volkoff	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Most Hated	most_hated	2	Greg Valentine	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Most Hated	most_hated	3	King Kong Bundy	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Most Hated	most_hated	4	Butch Reed	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Most Hated	most_hated	5	Ted DiBiase	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Most Hated	most_hated	7	Ron Bass	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Most Hated	most_hated	8	The Iron Sheik	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Most Hated	most_hated	9	Jim Garvin	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	Most Hated	most_hated	10	Kendo Nagasaki	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	WWF	promotion	1	Bob Backlund	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	WWF	promotion	2	The Magnificent Muraco	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	WWF	promotion	3	Paul Orndorff	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	WWF	promotion	4	Jimmy Snuka	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	WWF	promotion	5	The Masked Superstar	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	WWF	promotion	6	Tito Santana	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	WWF	promotion	7	Sergeant Slaughter	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
1984-06-15	WWF	promotion	8	Rocky Johnson	http://www.profightdb.com/pwi-monthly/summer-1984-386.html
